OBJECTID_1,Name_USGSO,Plate,USGS_ISID,NEAR_FID,NEAR_DIST,ALL_Uniq,Linework_S,Meaning_AL,ID_GID,NAME_wcmcI,NAME_LOCAL,OBJECTID,ChangeType,ChangeNote,ChangeRef,Shape_Leng,IslandArea,IslandCoas,Area_Geode,Coast_Geod,Shape_Le_1,Shape_Area,layer,path,Atoll
13245,,Somalia,"47137","-1",-1.000000000000000,"15001",USGS: Sayre et al. 2018,USGS poly had no WCMC poly within 300m,0.000000000000000,,,"0",,,,1432.291959780000070,0.120293036862000,1.432291959780000,0.119530533160000,1.474477031890000,1432.291959784812434,120293.036861915476038,USGSEsriWCMC_GlobalIslandsv2_SmallIslands,C:/Users/ruth-/Dropbox/Lancaster_CoralReef_Postdoc/Modelling_seabird_nutrient_potential/Seabird_nutrient_potential/Mapping/USGSEsriWCMC_GlobalIslands_v3/v10/globalislandsfix.gdb|layername=USGSEsriWCMC_GlobalIslandsv2_SmallIslands,Aldabra
88326,,Somalia,"47143","35621",0.000000000000000,"116560",USGS: Sayre et al. 2018,USGS poly had WCMC poly intersect/overlap,19677.000000000000000,,,"0",,,,4081.780253979999543,0.358211277439000,4.081780253980000,0.355940608325000,3.892036411600000,4081.780253977978191,358211.277439438446891,USGSEsriWCMC_GlobalIslandsv2_SmallIslands,C:/Users/ruth-/Dropbox/Lancaster_CoralReef_Postdoc/Modelling_seabird_nutrient_potential/Seabird_nutrient_potential/Mapping/USGSEsriWCMC_GlobalIslands_v3/v10/globalislandsfix.gdb|layername=USGSEsriWCMC_GlobalIslandsv2_SmallIslands,Aldabra
13243,,Somalia,"47134","-1",-1.000000000000000,"14999",USGS: Sayre et al. 2018,USGS poly had no WCMC poly within 300m,0.000000000000000,,,"0",,,,413.466583264000008,0.007413890222880,0.413466583264000,0.007366897131940,0.420460114190000,413.466583263584823,7413.890222878037093,USGSEsriWCMC_GlobalIslandsv2_SmallIslands,C:/Users/ruth-/Dropbox/Lancaster_CoralReef_Postdoc/Modelling_seabird_nutrient_potential/Seabird_nutrient_potential/Mapping/USGSEsriWCMC_GlobalIslands_v3/v10/globalislandsfix.gdb|layername=USGSEsriWCMC_GlobalIslandsv2_SmallIslands,Aldabra
88318,,Somalia,"47123","35618",0.000000000000000,"116552",USGS: Sayre et al. 2018,USGS poly had WCMC poly intersect/overlap,19674.000000000000000,,,"0",,,,3383.040112900000167,0.530630684175000,3.383040112900000,0.527267820529000,3.445119263680000,3383.040112903745012,530630.684175374452025,USGSEsriWCMC_GlobalIslandsv2_SmallIslands,C:/Users/ruth-/Dropbox/Lancaster_CoralReef_Postdoc/Modelling_seabird_nutrient_potential/Seabird_nutrient_potential/Mapping/USGSEsriWCMC_GlobalIslands_v3/v10/globalislandsfix.gdb|layername=USGSEsriWCMC_GlobalIslandsv2_SmallIslands,Aldabra
88315,,Somalia,"47114","35617",0.000000000000000,"116549",USGS: Sayre et al. 2018,USGS poly had WCMC poly intersect/overlap,19673.000000000000000,Euphrates Islet,Esprit,"0",,,,3339.548895720000019,0.528794826343000,3.339548895720000,0.525444086509000,3.285591235620000,3339.548895718287895,528794.826343137188815,USGSEsriWCMC_GlobalIslandsv2_SmallIslands,C:/Users/ruth-/Dropbox/Lancaster_CoralReef_Postdoc/Modelling_seabird_nutrient_potential/Seabird_nutrient_potential/Mapping/USGSEsriWCMC_GlobalIslands_v3/v10/globalislandsfix.gdb|layername=USGSEsriWCMC_GlobalIslandsv2_SmallIslands,Aldabra
3749,Aldabra,North America,"319775","35578",0.000000000000000,"274640",USGS: Sayre et al. 2018,USGS poly had WCMC poly intersect/overlap,19632.000000000000000,Grande Terre,Aldabra,"0",,,,116720.899994999999763,116.703073278999994,116.720899994999996,115.963589713999994,118.658393885999999,116720.899994882725878,116703073.278551250696182,USGSEsriWCMC_GlobalIslandsv2_BigIslands,C:/Users/ruth-/Dropbox/Lancaster_CoralReef_Postdoc/Modelling_seabird_nutrient_potential/Seabird_nutrient_potential/Mapping/USGSEsriWCMC_GlobalIslands_v3/v10/globalislandsfix.gdb|layername=USGSEsriWCMC_GlobalIslandsv2_BigIslands,Aldabra
231915,,Somalia,"47157","35580",42.512934812600001,"298642",USGS: Sayre et al. 2018,"USGS poly had WCMC poly within 300m, but NO intersection",19634.000000000000000,Malabar,Malabar,"0",,,,638.576115372999880,0.013986160927500,0.638576115373000,0.013897476559700,0.619667965516000,638.576115372795357,13986.160927450446252,USGSEsriWCMC_GlobalIslandsv2_SmallIslands,C:/Users/ruth-/Dropbox/Lancaster_CoralReef_Postdoc/Modelling_seabird_nutrient_potential/Seabird_nutrient_potential/Mapping/USGSEsriWCMC_GlobalIslands_v3/v10/globalislandsfix.gdb|layername=USGSEsriWCMC_GlobalIslandsv2_SmallIslands,Aldabra
231916,,Somalia,"47159","35578",166.693904674000009,"298643",USGS: Sayre et al. 2018,"USGS poly had WCMC poly within 300m, but NO intersection",19632.000000000000000,Grande Terre,Aldabra,"0",,,,1167.521767870000076,0.039601755240800,1.167521767870000,0.039350643295500,1.168498777750000,1167.521767873055296,39601.755240849684924,USGSEsriWCMC_GlobalIslandsv2_SmallIslands,C:/Users/ruth-/Dropbox/Lancaster_CoralReef_Postdoc/Modelling_seabird_nutrient_potential/Seabird_nutrient_potential/Mapping/USGSEsriWCMC_GlobalIslands_v3/v10/globalislandsfix.gdb|layername=USGSEsriWCMC_GlobalIslandsv2_SmallIslands,Aldabra
231911,,Somalia,"47138","35587",110.656271754000002,"298638",USGS: Sayre et al. 2018,"USGS poly had WCMC poly within 300m, but NO intersection",19641.000000000000000,Picard,West Island,"0",,,,2258.010942049999812,0.189121162003000,2.258010942050000,0.187922322614000,2.337538773280000,2258.010942051678285,189121.162002973782364,USGSEsriWCMC_GlobalIslandsv2_SmallIslands,C:/Users/ruth-/Dropbox/Lancaster_CoralReef_Postdoc/Modelling_seabird_nutrient_potential/Seabird_nutrient_potential/Mapping/USGSEsriWCMC_GlobalIslands_v3/v10/globalislandsfix.gdb|layername=USGSEsriWCMC_GlobalIslandsv2_SmallIslands,Aldabra
231912,,Somalia,"47145","35587",167.662218641000010,"298639",USGS: Sayre et al. 2018,"USGS poly had WCMC poly within 300m, but NO intersection",19641.000000000000000,Picard,West Island,"0",,,,1251.314054680000027,0.084138384376600,1.251314054680000,0.083604957806900,1.259718282200000,1251.314054683673703,84138.384376572910696,USGSEsriWCMC_GlobalIslandsv2_SmallIslands,C:/Users/ruth-/Dropbox/Lancaster_CoralReef_Postdoc/Modelling_seabird_nutrient_potential/Seabird_nutrient_potential/Mapping/USGSEsriWCMC_GlobalIslands_v3/v10/globalislandsfix.gdb|layername=USGSEsriWCMC_GlobalIslandsv2_SmallIslands,Aldabra
